Variables,Label
POS_sum,Word_Count
Count_Sentence-Question,Count_Match_w_Question
Count_Passage,Count_Match_w_Correct_Answer
Count_s_Sentence-Question,Count_Match_w_Synset_Question
Count_s_Passage,Count_Match_w_Synset_Correct_Answer
Lemma_Frq_Mean,Lemma_Word_Frq_Mean
Lemma_Frq_SD,Lemma_Word_Frq_SD
Lemma_Frq_Max,Lemma_Word_Frq_Max
Lemma_Frq_Min,Lemma_Word_Frq_Min
Count_hype_Sentence-Question,Count_Match_w_Hyper_Question
Count_hype_Passage,Count_Match_w_Hyper_Correct_Answer
Count_hypo_Sentence-Question,Count_Match_w_Hypo_Question
Count_hypo_Passage,Count_Match_w_Hypo_Correct_Answer
PMI_Bigram_Mean,PMI_Bigram_Mean
PMI_Bigram_SD,PMI_Bigram_SD
PMI_Bigram_Max,PMI_Bigram_Max
PMI_Bigram_Min,PMI_Bigram_Min
PMI_Trigram_Mean,PMI_Trigram_Mean
PMI_Trigram_SD,PMI_Trigram_SD
PMI_Trigram_Max,PMI_Trigram_Max
PMI_Trigram_Min,PMI_Trigram_Min
Lemma_Count_dk,Lemma_Word_Count_Match_w_DK
Lemma_Count_nr,Lemma_Word_Count_Match_w_NR
Passage_POS_sum,Correct_Answer_Word_Count
Stem_Sum_Count_hype_Options,Question_Count_Match_w_Hyper_Answer
Stem_Sum_Count_hypo_Options,Question_Count_Match_w_Hypo_Answer
Stem_Lemma_Frq_Mean,Question_Lemma_Word_Frq_Mean
