Bigram,Bigram_sum,p_ab,p_a_x_p_b,PMI
'd_like,1.0,0.0002872737719046251,7.839990902309505e-06,5.1954
'm_learn,1.0,0.0002872737719046251,8.252622002431058e-07,8.4434
're_[,1.0,0.0002872737719046251,5.776835401701741e-06,5.636
're_a,2.0,0.0005745475438092502,0.00035527537720465705,0.6935
're_be,1.0,0.0002872737719046251,0.0002917301877859379,-0.0222
're_check,2.0,0.0005745475438092502,1.4442088504254352e-05,5.3141
're_do,2.0,0.0005745475438092502,0.0002628460107774292,1.1282
're_feel,1.0,0.0002872737719046251,1.4442088504254352e-05,4.3141
're_friend,1.0,0.0002872737719046251,5.776835401701741e-06,5.636
're_have,1.0,0.0002872737719046251,4.9103100914464794e-05,2.5485
're_hold,1.0,0.0002872737719046251,8.665253102552611e-06,5.051
're_in,7.0,0.002010916403332376,7.79872779229735e-05,4.6885
're_invent,1.0,0.0002872737719046251,0.00012131354343573655,1.2437
're_learn,1.0,0.0002872737719046251,2.8884177008508704e-05,3.3141
're_look,1.0,0.0002872737719046251,1.1553670803403482e-05,4.636
're_make,1.0,0.0002872737719046251,0.00015886297354679785,0.8546
're_measure,4.0,0.0011490950876185005,7.509886022212262e-05,3.9356
're_okay,1.0,0.0002872737719046251,2.8884177008508704e-06,6.636
're_on,1.0,0.0002872737719046251,3.177259470935957e-05,3.1766
're_save,1.0,0.0002872737719046251,0.0002252965806663679,0.3506
're_squeeze,1.0,0.0002872737719046251,5.776835401701741e-06,5.636
're_teach,1.0,0.0002872737719046251,1.1553670803403482e-05,4.636
're_try,2.0,0.0005745475438092502,2.8884177008508704e-05,4.3141
're_use,1.0,0.0002872737719046251,6.0656771717868276e-05,2.2437
's_a,4.0,0.0011490950876185005,0.0003248232020156864,1.8228
's_about,1.0,0.0002872737719046251,2.3767551367001448e-05,3.5954
's_an,1.0,0.0002872737719046251,1.584503424466763e-05,4.1803
's_desk,1.0,0.0002872737719046251,2.6408390407779387e-06,6.7653
's_different,1.0,0.0002872737719046251,7.922517122333815e-06,5.1803
's_do,2.0,0.0005745475438092502,0.0002403163527107924,1.2575
's_hard,6.0,0.0017236426314277506,5.017594177478083e-05,5.1023
's_impossible,1.0,0.0002872737719046251,2.6408390407779387e-06,6.7653
's_kind,1.0,0.0002872737719046251,5.281678081555877e-06,5.7653
's_life,6.0,0.0017236426314277506,2.6408390407779386e-05,6.0283
's_not,1.0,0.0002872737719046251,4.489426369322495e-05,2.6778
's_really,3.0,0.0008618213157138753,1.584503424466763e-05,5.7653
's_shake,1.0,0.0002872737719046251,5.281678081555877e-06,5.7653
's_so,1.0,0.0002872737719046251,7.922517122333815e-06,5.1803
's_too,1.0,0.0002872737719046251,1.848587328544557e-05,3.9579
's_your,1.0,0.0002872737719046251,2.6408390407779386e-05,3.4434
(_invent,1.0,0.0002872737719046251,3.466101241021044e-06,6.373
",_it",2.0,0.0005745475438092502,3.763195633108562e-05,3.9324
",_long",1.0,0.0002872737719046251,6.4370451618962246e-06,5.4799
",_monster",1.0,0.0002872737719046251,4.951573201458634e-07,9.1803
",_optimism",1.0,0.0002872737719046251,4.951573201458634e-07,9.1803
",_word",1.0,0.0002872737719046251,9.903146402917269e-07,8.1803
10_block,1.0,0.0002872737719046251,1.6505244004862117e-07,10.7653
10_inch,1.0,0.0002872737719046251,3.3010488009724234e-07,9.7653
50_second,1.0,0.0002872737719046251,8.252622002431058e-08,11.7653
6_inch,1.0,0.0002872737719046251,1.6505244004862117e-07,10.7653
[_b,1.0,0.0002872737719046251,1.6505244004862117e-07,10.7653
[_explode,1.0,0.0002872737719046251,2.6408390407779387e-06,6.7653
]_lowin,1.0,0.0002872737719046251,1.6505244004862117e-07,10.7653
a_a,1.0,0.0002872737719046251,0.0012485391827477947,-2.1197
a_bad,3.0,0.0008618213157138753,5.0753625314951004e-05,4.0858
a_bear,1.0,0.0002872737719046251,2.03014501259804e-05,3.8228
a_bigger,1.0,0.0002872737719046251,1.01507250629902e-05,4.8228
a_book,2.0,0.0005745475438092502,3.0452175188970602e-05,4.2378
a_bos,2.0,0.0005745475438092502,2.03014501259804e-05,4.8228
a_boy,2.0,0.0005745475438092502,2.03014501259804e-05,4.8228
a_bunch,1.0,0.0002872737719046251,1.01507250629902e-05,4.8228
a_can,1.0,0.0002872737719046251,0.00029437102682671585,-0.0352
a_cave,1.0,0.0002872737719046251,1.01507250629902e-05,4.8228
a_certain,1.0,0.0002872737719046251,1.01507250629902e-05,4.8228
a_computer,2.0,0.0005745475438092502,2.03014501259804e-05,4.8228
a_friend,1.0,0.0002872737719046251,2.03014501259804e-05,3.8228
a_good,1.0,0.0002872737719046251,6.0904350377941204e-05,2.2378
a_hero,1.0,0.0002872737719046251,2.03014501259804e-05,3.8228
a_huge,1.0,0.0002872737719046251,1.01507250629902e-05,4.8228
a_hurry,2.0,0.0005745475438092502,3.0452175188970602e-05,4.2378
a_job,1.0,0.0002872737719046251,3.0452175188970602e-05,3.2378
a_judge,1.0,0.0002872737719046251,1.01507250629902e-05,4.8228
a_lab,2.0,0.0005745475438092502,2.03014501259804e-05,4.8228
a_lawyer,1.0,0.0002872737719046251,7.105507544093142e-05,2.0154
a_life,1.0,0.0002872737719046251,0.00010150725062990201,1.5008
a_liquid,1.0,0.0002872737719046251,2.03014501259804e-05,3.8228
a_location,1.0,0.0002872737719046251,1.01507250629902e-05,4.8228
a_lot,7.0,0.002010916403332376,7.105507544093142e-05,4.8228
a_man,1.0,0.0002872737719046251,2.03014501259804e-05,3.8228
a_manager,2.0,0.0005745475438092502,4.06029002519608e-05,3.8228
a_measure,1.0,0.0002872737719046251,0.0002639188516377452,0.1223
a_paper,1.0,0.0002872737719046251,1.01507250629902e-05,4.8228
a_person,37.0,0.010629129560471129,0.00044663190277156883,4.5728
a_picture,1.0,0.0002872737719046251,1.01507250629902e-05,4.8228
a_pipe,1.0,0.0002872737719046251,1.01507250629902e-05,4.8228
a_place,2.0,0.0005745475438092502,9.13565255669118e-05,2.6528
a_principal,1.0,0.0002872737719046251,1.01507250629902e-05,4.8228
a_read,1.0,0.0002872737719046251,3.0452175188970602e-05,3.2378
a_really,1.0,0.0002872737719046251,6.0904350377941204e-05,2.2378
a_resource,2.0,0.0005745475438092502,5.0753625314951004e-05,3.5008
a_rock,1.0,0.0002872737719046251,2.03014501259804e-05,3.8228
a_ruler,10.0,0.002872737719046251,0.00012180870075588241,4.5597
a_school,2.0,0.0005745475438092502,8.12058005039216e-05,2.8228
a_scientist,1.0,0.0002872737719046251,3.0452175188970602e-05,3.2378
a_shelter,1.0,0.0002872737719046251,1.01507250629902e-05,4.8228
a_soda,1.0,0.0002872737719046251,1.01507250629902e-05,4.8228
a_sport,1.0,0.0002872737719046251,1.01507250629902e-05,4.8228
a_strategy,1.0,0.0002872737719046251,2.03014501259804e-05,3.8228
a_superhero,2.0,0.0005745475438092502,3.0452175188970602e-05,4.2378
a_thing,1.0,0.0002872737719046251,0.00040602900251960803,-0.4992
a_ticket,1.0,0.0002872737719046251,1.01507250629902e-05,4.8228
