Trigram,Trigram_sum,p_abc,p_a_x_p_b_x_p_c,PMI
'd_like_to,1.0,0.0002872737719046251,2.139612570294177e-07,10.3909
'm_learn_more,1.0,0.0002872737719046251,4.741523701482941e-10,19.2086
're_[_b,1.0,0.0002872737719046251,1.6595332955190294e-09,17.4013
're_a_bad,1.0,0.0002872737719046251,5.103064883721015e-07,9.1368
're_a_principal,1.0,0.0002872737719046251,1.0206129767442031e-07,11.4588
're_be_attack,1.0,0.0002872737719046251,8.380643142371099e-08,11.7431
're_check_how,1.0,0.0002872737719046251,1.6595332955190293e-07,10.7574
're_check_the,1.0,0.0002872737719046251,2.2403699489506897e-07,10.3245
're_do_a,1.0,0.0002872737719046251,9.287578088372247e-06,4.951
're_do_science,1.0,0.0002872737719046251,1.2081402391378532e-06,7.8935
're_friend_with,1.0,0.0002872737719046251,4.978599886557088e-09,15.8163
're_have_trouble,1.0,0.0002872737719046251,4.2318099035735245e-08,12.7289
're_hold_a,1.0,0.0002872737719046251,3.061838930232609e-07,9.8738
're_in_a,3.0,0.0008618213157138753,2.7556550372093484e-06,8.2888
're_in_danger,1.0,0.0002872737719046251,2.2403699489506898e-08,13.6464
're_in_jail,2.0,0.0005745475438092502,1.1201849744753448e-07,12.3245
're_in_trouble,1.0,0.0002872737719046251,6.721109846852069e-08,12.0614
're_learn_something,1.0,0.0002872737719046251,1.3276266364152234e-06,7.7574
're_look_for,1.0,0.0002872737719046251,2.323346613726641e-08,13.5939
're_make_something,1.0,0.0002872737719046251,7.301946500283728e-06,5.298
're_measure_like,1.0,0.0002872737719046251,2.049523619966001e-06,7.131
're_measure_something,2.0,0.0005745475438092502,3.4518292546795806e-06,7.3789
're_measure_water,1.0,0.0002872737719046251,6.472179852524214e-08,12.1159
're_on_the,1.0,0.0002872737719046251,4.928813887691517e-07,9.187
're_save_somebody,1.0,0.0002872737719046251,2.9124809336358963e-06,6.624
're_squeeze_or,1.0,0.0002872737719046251,4.978599886557088e-08,12.4944
're_teach_you,1.0,0.0002872737719046251,8.098522482132862e-07,8.4706
're_try_to,2.0,0.0005745475438092502,7.882783153715389e-07,9.5095
're_use_your,1.0,0.0002872737719046251,1.7425099602949806e-07,10.687
's_a_bad,1.0,0.0002872737719046251,4.665659322259213e-07,9.2661
's_a_bunch,1.0,0.0002872737719046251,9.331318644518427e-08,11.5881
's_a_person,1.0,0.0002872737719046251,4.105780203588108e-06,6.1286
's_a_word,1.0,0.0002872737719046251,1.8662637289036855e-07,10.5881
's_about_to,1.0,0.0002872737719046251,6.486404423628662e-07,8.7908
's_an_explosion,1.0,0.0002872737719046251,4.551862753423623e-09,15.9456
's_desk_and,1.0,0.0002872737719046251,5.386370924884621e-08,12.3808
's_different_job,1.0,0.0002872737719046251,6.8277941301354335e-09,15.3606
's_do_ad,1.0,0.0002872737719046251,6.903658509359161e-08,12.0228
's_do_science,1.0,0.0002872737719046251,1.1045853614974658e-06,8.0228
's_hard_to,2.0,0.0005745475438092502,1.369352044988273e-06,8.7128
's_kind_of,1.0,0.0002872737719046251,2.731117652054174e-08,13.3606
's_not_possible,1.0,0.0002872737719046251,7.738166680820159e-08,11.8581
's_really_hard,3.0,0.0008618213157138753,8.648539231504882e-08,13.2826
's_shake_and,1.0,0.0002872737719046251,1.0772741849769242e-07,11.3808
's_so_hard,1.0,0.0002872737719046251,4.324269615752441e-08,12.6977
's_too_difficult,1.0,0.0002872737719046251,1.0621013091321789e-08,14.7232
's_your_hero,1.0,0.0002872737719046251,1.5172875844745412e-08,14.2086
(_invent_thing,1.0,0.0002872737719046251,3.9828799092456694e-08,12.8163
",_it_'s",2.0,0.0005745475438092502,3.459415692601953e-07,10.6977
",_long_to",1.0,0.0002872737719046251,1.7567345313994294e-07,10.6753
",_optimism_,",1.0,0.0002872737719046251,8.534742662669292e-10,18.3606
",_word_like",1.0,0.0002872737719046251,2.7026685098452757e-08,13.3758
